Step	Training Loss
684	2.101600
685	1.923000
686	1.972900
687	1.994700
688	2.119500
689	2.040200
690	2.170500
691	2.105300
692	2.098500
693	2.146600
694	2.063800
695	1.940300
696	1.928100
697	2.058800
698	2.096600
699	2.031800
700	2.080300
701	1.988600
702	2.031900
703	2.191700
704	2.115900
705	2.187200
706	1.984100
707	2.145800
708	1.900900
709	2.138400
710	1.939300
711	2.001800
712	2.009300
713	2.076000
714	1.985600
715	2.088300
716	2.197600
717	1.956400
718	1.937300
719	2.072200
720	1.931600
721	2.088800
722	2.038700
723	1.999000
724	2.052000
725	1.883400
726	2.020700
727	2.267300
728	2.063000
729	1.911700
730	2.059900
731	2.132700
732	2.150600
733	1.968800
734	2.188800
735	1.880200
736	2.140300
737	2.098400
738	2.037000
739	2.026300
740	1.952500
741	2.087800
742	2.118600
743	2.107700
744	2.089800
745	2.014300
746	1.993400
747	2.236100
748	2.252600
749	2.021700
750	2.026000
751	2.107300
752	2.033100
753	2.009900
754	1.948900
755	2.161000
756	1.965000
757	1.941300
758	2.110800
759	2.087900
760	2.051200
761	2.166600
762	1.964200
763	2.070500
764	2.136300
765	2.088400
766	1.941200
767	1.949600
768	2.086800
769	2.096000
770	1.952700
771	1.994500
772	1.865700
773	1.914000
774	2.051600
775	1.951100
776	2.018900
777	2.107000
778	1.992800
779	1.962100
780	2.096100
781	2.043700
782	2.138700
783	2.020600
784	2.128700
785	1.942900
786	2.012600
787	2.016600
788	2.055900
789	2.175600
790	2.134400
791	2.048400
792	2.121700
793	2.128600
794	2.130600
795	2.027900
796	1.891900
797	2.070500
798	1.989600
799	2.034700
800	2.026400
801	2.121800
802	1.793200
803	2.129500
804	2.039300
805	2.090000
806	2.000100
807	2.139000
808	2.012200
809	2.014100
810	2.105800
811	2.063600
812	2.008200
813	2.166900
814	2.064400
815	2.139900
816	2.099700
817	1.929500
818	2.122800
819	2.001500
820	2.066300
821	1.995000
822	1.946100
823	2.127700
824	2.195100
825	2.120300
826	2.294100
827	2.007200
828	2.050500
829	1.827800
830	2.034700
831	2.029500
832	2.092800
833	2.043100
834	2.026300
835	2.099200
836	2.201100
837	2.005800
838	1.990000
839	2.045000
840	1.950900
841	1.937800
842	2.107100
843	2.009600
844	2.068700
845	1.986300
846	2.071000
847	2.079700
848	1.896500
849	1.859200
850	2.024000
851	1.960000
852	2.037700
853	2.117800
854	2.244300
855	2.204600
856	1.964600
857	2.009000
858	2.055400
859	2.146300
860	1.962000
861	1.912400
862	2.180000
863	2.212500
864	2.043900
865	2.105200
866	2.116000
867	1.872200
868	2.090800
869	2.247800
870	1.920100
871	1.946300
872	2.061000
873	1.906400
874	2.079000
875	2.034200
876	1.984200
877	2.136900
878	2.099200
879	1.941600
880	2.180300
881	2.113500
882	1.967900
883	2.110400
884	2.032500
885	2.016500
886	1.958800
887	1.944900
888	2.074600
889	1.984900
890	1.935400
891	2.097900
892	2.122600
893	2.120400
894	2.018300
895	2.085900
896	1.661000
897	2.154400
898	2.018900
899	2.023900
900	1.834200
901	2.024800
902	2.151700
903	2.025300
904	2.117400
905	2.146800
906	2.083300
907	1.847300
908	1.913600
909	1.979200
910	2.101200
911	2.156500
912	1.877900
913	1.977000
914	2.110500
915	2.070300
916	2.053000
917	1.906000
918	2.166900
919	1.922200
920	1.878300
921	1.877100
922	2.123900
923	1.922500
924	1.962500
925	2.055800
926	2.030700
927	1.917000
928	2.131200
929	2.218600
930	2.197900
931	1.989100
932	2.051400
933	2.155100
934	2.015700
935	2.107900
936	2.152100
937	1.958200
938	1.935000
939	2.095400
940	2.164700
941	2.123000
942	2.108800
943	1.963400
944	2.151700
945	2.065600
946	2.113000
947	2.260300
948	2.067200
949	2.055900
950	1.842700
951	1.917500
952	2.154700
953	2.020300
954	1.920200
955	1.917100
956	1.988400
957	2.126500
958	1.993100
959	2.108600
960	2.092700
961	2.097200
962	1.938400
963	2.204800
964	1.908000
965	2.027800
966	2.006200
967	2.021600
968	2.195200
969	1.982100
970	1.835000
971	1.940400
972	1.983900
973	2.118000
974	2.148200
975	2.131400
976	2.173700
977	2.138300
978	2.011300
979	1.931700
980	1.972900
981	2.075900
982	2.060100
983	1.957400
984	2.090500
985	2.058400
986	2.062700
987	2.064300
988	2.122500
989	2.053300
990	2.187100
991	2.111400
992	2.047200
993	2.094300
994	2.074500
995	1.910000
996	2.104100
997	2.116500
998	1.977000
999	2.084800
1000	2.033200
1001	2.055900
1002	1.851800
1003	1.834100
1004	2.156600
1005	2.010300
1006	2.117500
1007	2.056900
1008	2.125500
1009	2.076300
1010	2.161500
1011	1.980400
1012	1.980700
1013	1.995500
1014	2.021200
1015	1.985000
1016	2.003600
1017	2.091400
1018	2.119800
1019	2.037100
1020	1.922600
1021	1.974600
1022	2.071600
1023	2.084900
1024	1.893400
1025	2.064000
1026	2.016500
1027	1.970500
1028	1.940200
1029	2.065700
1030	2.106400
1031	2.241200
1032	2.099100
1033	1.993100
1034	1.977400
1035	2.069500
1036	2.067000
1037	2.074900
1038	2.159100
1039	1.916700
1040	2.009900
1041	1.992200
1042	2.030700
1043	1.816200
1044	2.078000
1045	2.091000
1046	1.983100
1047	2.085600
1048	2.091000
1049	1.987300
1050	2.119300
1051	1.914800
1052	1.923500
1053	2.035200
1054	2.041200
1055	2.017500
1056	1.952100
1057	2.111400
1058	2.066800
1059	2.027200
1060	2.052100
1061	1.897700
1062	2.062500
1063	2.153300
1064	2.093000
1065	2.067000
1066	2.023600
1067	2.084800
1068	1.779600
1069	1.939300
1070	2.059500
1071	2.163100
1072	2.133800
1073	1.888100
1074	2.043600
1075	1.942800
1076	2.029900
1077	1.936700
1078	2.087000
1079	2.172000
1080	2.079300
1081	2.039000
1082	2.115100
1083	2.057500
1084	2.083200
1085	1.998000
1086	2.033200
1087	2.064500
1088	2.115100
1089	2.096900
1090	2.147800
1091	1.916200
1092	1.897400
1093	1.955100
1094	2.031600
1095	1.928500
1096	1.891400
1097	2.171100
1098	2.133400
1099	2.101200
1100	2.045800
1101	2.114100
1102	2.022100
1103	2.080300
1104	2.146000
1105	2.077400
1106	2.170900
1107	2.249400
1108	1.988200
1109	2.094600
1110	1.956000
1111	1.957200
1112	1.994800
1113	1.895600
1114	2.125200
1115	2.074500
1116	1.774200
1117	1.942000
1118	2.209500
1119	2.050700
1120	1.963800
1121	2.068500
1122	1.943400
1123	2.030600
1124	2.095100
1125	2.115900
1126	2.005200
1127	2.021100
1128	2.203800
1129	1.871400
1130	1.994600
1131	2.049600
1132	2.092800
1133	1.997100
1134	2.123200
1135	1.991600
1136	1.960500
1137	1.723200
1138	2.139400
1139	2.151200
1140	1.947100
1141	2.075500
1142	2.035500
1143	1.927800
1144	2.084700
1145	2.047200
1146	2.002600
1147	1.814000
1148	1.983100
1149	2.046600
1150	2.109500
1151	1.979000
1152	2.053900
1153	2.018600
1154	1.958200
1155	1.949800
1156	2.125500
1157	1.996400
1158	2.067500
1159	2.102900
1160	2.044500
1161	1.953200
1162	1.879300
1163	2.048600
1164	2.028000
1165	2.071900
1166	2.000800
1167	2.109500
1168	2.053300
1169	2.006800
1170	2.031700
1171	2.160000
1172	2.085600
1173	1.879500
1174	1.927900
1175	2.125900
1176	1.900000
1177	2.100600
1178	1.999700
1179	1.980400
1180	2.127000
1181	2.076600
1182	2.028200
1183	2.057900
1184	2.156300
1185	2.034200
1186	2.081300
1187	1.944800
1188	2.062600
1189	2.113800
1190	1.986200
1191	2.133000
1192	2.110100
1193	2.020400
1194	2.117600
1195	2.081100
1196	1.970600
1197	2.098300
1198	2.087800
1199	2.084600
1200	2.014000
1201	1.902600
1202	2.110700
1203	2.067100
1204	2.108600
1205	2.134100
1206	1.997500
1207	2.113600
1208	2.083500
1209	2.034100
1210	2.004200
1211	1.939200
1212	1.860300
1213	1.876000
1214	1.984600
1215	2.156800
1216	1.976300
1217	2.118000
1218	2.138600
1219	2.091600
1220	2.034900
1221	2.053100
1222	1.929300
1223	1.988500
1224	2.093800
1225	2.083200
1226	2.054000
1227	1.884900
1228	2.089600
1229	2.084700
1230	2.058800
1231	2.098100
1232	1.989800
1233	2.103400
1234	2.180300
1235	1.869700
1236	2.130300
1237	1.847700
1238	2.010200
1239	2.325800
1240	2.110100
1241	2.138800
1242	1.998000
1243	2.044800
1244	1.963200
1245	2.068400
1246	1.777500
1247	2.065100
1248	1.984100
1249	1.908700
1250	2.026600
1251	2.016400
1252	2.257500
1253	2.082900
1254	1.944200
1255	1.900500
1256	1.971900
1257	2.002500
1258	2.097000
1259	2.128700
1260	1.939300
1261	1.983500
1262	2.035500
1263	2.003000
1264	2.093500
1265	1.995100
1266	1.930400
1267	2.168600
1268	2.005900
1269	1.950400
1270	2.084200
1271	2.073100
1272	2.022000
1273	1.926700
1274	1.897100
1275	2.003500
1276	2.067900
1277	2.039800
1278	2.072200
1279	1.966500
1280	1.947500
1281	1.995100
1282	2.287000
1283	2.110200
1284	2.098600
1285	2.205400
1286	1.961700
1287	2.021700
1288	2.021200
1289	2.190400
1290	2.117400
1291	2.075400
1292	2.134000
1293	2.066500
1294	2.064600
1295	1.920000
1296	1.941100
1297	1.916700
1298	2.047700
1299	1.949800
1300	2.024800
1301	1.911000
1302	2.089600
1303	2.099600
1304	2.092100
1305	1.889600
1306	1.946900
1307	1.899500
1308	1.993400
1309	1.995700
1310	2.096600
1311	2.052500
1312	1.870100
1313	2.131500
1314	2.054300
1315	2.001900
1316	2.097900
1317	1.963800
1318	2.163600
1319	2.052500
1320	2.151800
1321	2.183100
1322	1.904300
1323	1.917600
1324	2.116800
1325	1.870600
1326	2.146600
1327	2.186000
1328	2.115500
1329	1.931000
1330	2.087800
1331	2.082800
1332	2.045700
1333	2.076900
1334	2.026700
1335	2.137400
1336	1.972400
1337	1.841000
1338	2.024400
1339	2.035400
1340	2.027800
1341	2.018200
1342	2.037400
1343	2.042000
1344	2.075000
1345	2.003300
1346	2.018400
1347	2.021600
1348	2.106000
1349	2.177400
1350	2.078400
1351	2.050700
1352	1.854000
1353	2.044000
1354	2.101500
1355	2.176200
1356	2.058900
1357	2.029700
1358	1.933900
1359	2.115500
1360	2.146300
1361	2.036800
1362	1.939800
1363	1.970500
1364	1.988100
1365	2.029000
1366	2.069300
1367	1.802500
1368	2.001600
1369	1.909700
1370	2.037300
1371	1.960600
1372	1.998500
1373	2.004800
1374	2.038200
1375	1.847600
1376	2.143600
1377	2.059900
1378	2.125500
1379	1.980900
1380	2.098500
1381	2.101600
1382	1.980400
1383	1.922200
