 [3200/4689 1:09:31 < 32:22, 0.77 it/s, Epoch 2.05/3]
Step	Training Loss
987	2.109400
988	2.170100
989	2.094600
990	2.231500
991	2.155700
992	2.101400
993	2.135600
994	2.130600
995	1.956600
996	2.142000
997	2.153300
998	2.027400
999	2.132700
1000	2.075700
1001	2.108600
1002	1.898100
1003	1.882600
1004	2.203200
1005	2.052400
1006	2.157600
1007	2.106500
1008	2.165700
1009	2.125300
1010	2.209500
1011	2.020100
1012	2.017300
1013	2.041000
1014	2.070100
1015	2.028400
1016	2.050800
1017	2.144900
1018	2.160600
1019	2.085100
1020	1.966300
1021	2.015300
1022	2.104200
1023	2.132400
1024	1.946500
1025	2.111700
1026	2.056000
1027	2.012200
1028	1.984400
1029	2.120600
1030	2.158300
1031	2.290400
1032	2.153100
1033	2.045100
1034	2.015200
1035	2.118800
1036	2.113300
1037	2.119700
1038	2.204100
1039	1.956300
1040	2.055900
1041	2.040500
1042	2.073800
1043	1.873500
1044	2.138600
1045	2.142800
1046	2.027300
1047	2.126200
1048	2.128800
1049	2.036000
1050	2.167700
1051	1.968200
1052	1.970900
1053	2.085200
1054	2.079800
1055	2.058100
1056	1.990800
1057	2.158600
1058	2.113500
1059	2.067200
1060	2.102400
1061	1.943900
1062	2.105600
1063	2.192500
1064	2.135200
1065	2.110000
1066	2.063800
1067	2.125900
1068	1.832900
1069	1.997000
1070	2.098700
1071	2.208000
1072	2.183900
1073	1.933500
1074	2.089000
1075	1.998000
1076	2.069300
1077	1.984000
1078	2.139900
1079	2.218400
1080	2.124200
1081	2.077500
1082	2.169500
1083	2.098600
1084	2.121600
1085	2.039600
1086	2.081200
1087	2.104400
1088	2.159600
1089	2.150600
1090	2.189600
1091	1.957800
1092	1.946300
1093	2.002700
1094	2.086900
1095	1.984900
1096	1.933800
1097	2.208900
1098	2.179900
1099	2.148800
1100	2.082200
1101	2.161900
1102	2.060100
1103	2.137700
1104	2.189000
1105	2.116300
1106	2.211800
1107	2.288400
1108	2.028400
1109	2.137800
1110	1.998500
1111	2.014700
1112	2.039700
1113	1.952100
1114	2.175900
1115	2.117600
1116	1.825500
1117	1.989200
1118	2.257100
1119	2.092400
1120	2.008300
1121	2.111000
1122	1.989900
1123	2.077400
1124	2.141700
1125	2.164600
1126	2.045800
1127	2.056000
1128	2.248100
1129	1.915500
1130	2.035300
1131	2.095400
1132	2.139300
1133	2.047300
1134	2.175300
1135	2.028200
1136	2.006400
1137	1.768400
1138	2.188100
1139	2.188000
1140	1.987800
1141	2.121800
