 [2536/4689 54:20 < 46:10, 0.78 it/s, Epoch 1.62/3]
Step	Training Loss
614	2.132900
615	2.148000
616	2.284300
617	2.208400
618	2.066200
619	2.158000
620	2.325900
621	2.223300
622	2.016800
623	2.115700
624	2.076700
625	2.097300
626	2.128800
627	2.137200
628	2.120500
629	2.149000
630	2.147800
631	2.071200
632	2.105900
633	2.079400
634	2.246600
635	2.070000
636	2.192400
637	2.194700
638	2.093200
639	2.185600
640	2.117300
641	2.168500
642	2.310300
643	2.148200
644	2.301900
645	2.116600
646	2.203100
647	2.175500
648	2.177800
649	2.126700
650	2.121300
651	2.292600
652	1.956800
653	2.255300
654	2.111700
655	2.155100
656	2.191800
657	2.179700
658	2.022600
659	2.249900
660	2.167000
661	2.134700
662	2.152200
663	2.172900
664	2.164200
665	2.210200
666	2.168600
667	2.201000
668	2.150100
669	2.161800
670	1.976400
671	2.179300
672	2.177000
673	2.208300
674	2.111500
675	2.309500
676	2.136700
677	2.210600
678	2.031000
679	2.307000
680	2.350400
681	2.207500
682	2.278500
683	2.130300
684	2.218200
685	2.027700
686	2.094700
687	2.082500
688	2.235900
689	2.152500
690	2.260200
691	2.216300
692	2.207600
693	2.262900
694	2.178300
695	2.061900
696	2.044200
697	2.169300
698	2.223200
699	2.136700
700	2.182500
701	2.104800
702	2.144700
703	2.301100
704	2.206700
705	2.300700
706	2.126000
707	2.244700
708	2.012900
709	2.253300
710	2.053800
711	2.114900
712	2.113200
713	2.174200
714	2.086300
715	2.184800
716	2.311900
717	2.080800
718	2.051700
719	2.185100
720	2.051600
721	2.194200
722	2.156800
723	2.111400
724	2.152500
725	1.998200
726	2.127700
727	2.370900
728	2.189100
729	2.046300
730	2.170800
731	2.232100
732	2.263300
733	2.064900
734	2.289900
735	1.987100
736	2.256200
737	2.232800
738	2.137800
739	2.146300
740	2.067200
741	2.206300
742	2.247600
743	2.230900
744	2.223800
745	2.121300
746	2.106900
747	2.350600
748	2.368400
749	2.137700
750	2.146200
751	2.224800
752	2.145100
753	2.097000
754	2.074800
755	2.264500
756	2.080100
757	2.058300
758	2.202800
759	2.206200
760	2.159900
761	2.274900
762	2.048500
763	2.178700
764	2.223300
765	2.209700
766	2.063800
767	2.059900
768	2.190000
769	2.204800
770	2.057700
771	2.134500
772	1.991900
773	2.003600
774	2.173500
775	2.094400
776	2.118900
777	2.217000
778	2.119700
779	2.080600
780	2.196400
781	2.149100
782	2.245100
783	2.134300
784	2.249200
785	2.071700
786	2.118200
787	2.114900
788	2.183400
789	2.281400
790	2.251200
791	2.127600
792	2.246500
793	2.240200
794	2.244400
795	2.161600
796	2.000200
797	2.176300
798	2.102500
799	2.149500
800	2.149400
801	2.235500
802	1.917300
